density,kelvin_temperature
7848.20977696736,293.654179
7847.88665261394,294.80003586
7847.55709374422,295.6482338
7847.2469454765,296.84439507
7846.8205325439,298.22337952
7846.44584393331,299.6091465
7846.07765034466,300.65508881
7845.66428104442,302.08242836
7845.38657280098,303.14096107
7844.9926486687,304.02838364
7844.65041896958,305.42824402
7844.30821915152,306.84763947
7844.00478401978,308.03996506
7843.64327415168,308.87421265
7843.24307047587,310.15733185
7842.86872340604,311.5164093
7842.58476009194,312.89979019
7842.14594754022,313.77226105
7841.82332286446,315.03975906
7841.44911132778,316.38331451
7841.22976300462,317.36546936
7840.74594844397,318.81736984
7840.4427888608,319.91079941
7840.06225912933,321.06522217
7839.78494788393,322.39435425
7839.37224192413,323.38159409
7838.92734073844,324.6932663
7838.62432230804,325.88898697
7838.31487913632,326.89271774
7837.89588212363,328.32638016
7837.52848992748,329.52094879
7837.13535506695,330.56001129
7836.80025451673,332.10477676
7836.42652221639,333.02212753
7836.03994005685,334.30965271
7835.76935558346,335.58374252
7835.44081303478,336.73234024
7835.09941562492,338.1727356
7834.71940550324,339.25333252
7834.33943226497,340.57962646
7834.06252514644,341.55145874
7833.6439826408,342.70604553
7833.3027417887,343.80113831
7832.92934299454,344.96492615
7832.63322465083,346.24373474
7832.14403398227,347.33938446
7831.75143909737,348.99571075
7831.4103631037,350.05476227
7831.0500137515,351.30953827
7830.77333911104,352.25866547
7830.32298057651,353.64188995
7830.00776020737,354.61123505
7829.60251511301,355.97331085
7829.22947009406,357.01135101
7828.9207682191,358.05617371
7828.55421691745,359.55844727
7828.20698781757,360.97355499
7827.76978379281,362.13480225
7827.5640565702,362.73708954
7827.13977943895,364.08901062
7826.70269463296,365.45782318
7826.30421997811,366.98251953
7825.95719041525,367.84779968
7825.66160122886,369.30866852
7825.22467699805,370.21626129
7824.91629531969,371.61180725
7824.62078028653,372.86466827
7824.20324489185,373.83140411
7823.70868580811,374.95708313
7823.38757635361,376.34824219
7822.98943471047,377.48789063
7822.58491796624,379.01511993
7822.48218922614,379.9038147
7821.93649082859,381.07988586
7821.44221378585,382.53243866
7821.39728666923,383.29945221
7820.74263488883,384.79810944
7820.45385603414,385.92966309
7820.11376111738,386.92056885
7819.74161862257,388.22769012
7819.36951154501,389.30438843
7818.92687999107,390.62754669
7818.61257646709,392.00030365
7818.29188516492,393.21021118
7817.9135036191,394.43617096
7817.54798231588,395.71251526
7817.16326157578,396.94832458
7816.72729025033,397.86765137
7816.38751937016,399.16593018
7815.96445294395,400.4675354
7815.66961811991,401.35414734
7815.31071470323,402.59514465
7814.88776485452,403.78885498
7814.51611954633,405.21246948
7814.20217052079,406.37123718
7813.73449703659,407.5048584
7813.35015156101,408.82285156
7812.88898420487,409.90421143
7812.55595500104,411.05077209
7812.16532245622,412.63286438
7811.95401200013,413.32085266
7811.44819208685,414.83452454
7811.14729212233,415.9174408
7810.62878017565,417.1154541
7810.25753985188,418.44244995
7809.87353189087,419.54706421
7809.43837325197,420.62532654
7809.06084818964,421.96089783
7808.71534610014,423.31674805
7808.38267257817,424.37955322
7807.85812724627,425.46620789
7807.55111278404,426.64667358
7807.20574429467,428.03336182
7806.75169607197,429.24246826
7806.4255834227,430.44551697
7805.95244749671,431.6412262
7805.58804375086,432.50533142
7805.30677470042,434.13052979
7804.80181965071,435.25389709
7804.46947504583,436.22505798
7803.93906579865,437.46291199
7803.73458927727,438.67540588
7803.28733759034,439.86333313
7802.93595832867,441.00571289
7802.49518530091,442.47821655
7802.11194466834,443.38266602
7801.89479154636,444.79485168
7801.34557193857,445.91472473
7801.01352605368,447.0608429
7800.45804668675,448.60353699
7800.07500616553,449.70369568
7799.61540453308,450.85343018
7799.40477244539,452.06201782
7798.88143257686,452.94084778
7798.57512366729,454.50916138
7798.14760316303,455.29468384
7797.79030718605,456.85698547
7797.37563024771,458.07234802
7796.91634663676,459.47461548
7796.50176264305,460.17389526
7796.189263792,461.82306519
7795.78750942008,462.73753967
7795.32841289584,463.92957153
7794.89487358265,464.86342468
7794.53787560417,466.04610291
7794.1299223755,467.53471985
7793.68376645696,468.65788879
7793.28864675781,469.95056763
7792.98277257274,471.16351929
7792.49215231272,472.27812805
7792.10351913655,473.48221436
