celsius_temperature,specific_heat_capacity
80.05,0.4981
80.15,0.4982
80.25,0.4983
80.35,0.4982
80.45,0.4982
80.56,0.4982
80.66,0.4981
80.76,0.4981
80.87,0.4982
80.96,0.4982
81.07,0.4981
81.18,0.4980
81.28,0.4979
81.38,0.4980
81.48,0.4981
81.58,0.4983
81.69,0.4982
81.79,0.4981
81.90,0.4981
82.00,0.4982
82.11,0.4982
82.22,0.4983
82.32,0.4983
82.42,0.4983
82.52,0.4984
82.63,0.4983
82.73,0.4983
82.84,0.4984
82.94,0.4983
83.04,0.4983
83.15,0.4983
83.25,0.4983
83.36,0.4985
83.46,0.4985
83.57,0.4986
83.68,0.4985
83.78,0.4984
83.89,0.4983
84.00,0.4984
84.11,0.4983
84.21,0.4982
84.31,0.4984
84.42,0.4983
84.53,0.4982
84.64,0.4983
84.74,0.4984
84.85,0.4986
84.95,0.4986
85.06,0.4985
85.16,0.4986
85.27,0.4986
85.38,0.4986
85.48,0.4986
85.59,0.4985
85.70,0.4988
85.81,0.4988
85.92,0.4987
86.03,0.4989
86.14,0.4988
86.24,0.4990
86.35,0.4990
86.46,0.4991
86.56,0.4991
86.67,0.4992
86.78,0.4991
86.89,0.4992
87.00,0.4994
87.11,0.4993
87.22,0.4992
87.33,0.4992
87.44,0.4990
87.55,0.4990
87.66,0.4990
87.77,0.4992
87.88,0.4994
87.99,0.4993
88.10,0.4993
88.21,0.4993
88.32,0.4993
88.43,0.4993
88.54,0.4994
88.65,0.4995
88.76,0.4995
88.87,0.4996
88.98,0.4998
89.09,0.4998
89.20,0.4998
89.31,0.4998
89.43,0.4998
89.54,0.4998
89.64,0.5000
89.76,0.5000
89.86,0.5000
89.98,0.4999
90.09,0.5000
90.20,0.5000
90.31,0.5001
90.43,0.5001
90.54,0.5001
90.65,0.5002
90.76,0.5003
90.87,0.5004
90.99,0.5004
91.10,0.5004
91.21,0.5005
91.32,0.5005
91.44,0.5004
91.55,0.5004
91.66,0.5004
91.77,0.5005
91.89,0.5004
92.00,0.5003
92.10,0.5003
92.21,0.5004
92.32,0.5005
92.43,0.5006
92.54,0.5006
92.65,0.5006
92.76,0.5008
92.87,0.5008
92.98,0.5007
93.09,0.5007
93.20,0.5008
93.31,0.5008
93.41,0.5010
93.53,0.5010
93.64,0.5010
93.75,0.5010
93.86,0.5010
93.96,0.5012
94.08,0.5011
94.20,0.5012
94.30,0.5012
94.41,0.5013
94.53,0.5014
94.63,0.5015
94.75,0.5015
94.86,0.5015
94.97,0.5014
95.09,0.5015
95.20,0.5016
95.31,0.5015
95.42,0.5015
95.54,0.5016
95.65,0.5017
95.76,0.5018
95.88,0.5021
95.98,0.5021
96.09,0.5021
96.21,0.5022
96.32,0.5022
96.44,0.5022
96.55,0.5022
96.66,0.5022
96.78,0.5024
96.89,0.5023
97.01,0.5024
97.12,0.5024
97.23,0.5024
97.34,0.5024
97.46,0.5025
97.57,0.5026
97.68,0.5028
97.80,0.5028
97.92,0.5030
98.03,0.5030
98.14,0.5030
98.26,0.5030
98.37,0.5030
98.49,0.5030
98.60,0.5029
98.72,0.5029
98.83,0.5029
98.95,0.5032
99.06,0.5033
99.18,0.5033
99.29,0.5033
99.40,0.5034
99.52,0.5034
99.64,0.5034
99.75,0.5035
99.87,0.5036
99.99,0.5037
100.10,0.5039
100.22,0.5038
100.34,0.5039
100.46,0.5038
100.57,0.5039
100.69,0.5039
100.80,0.5038
100.92,0.5038
101.03,0.5038
101.15,0.5039
101.26,0.5040
101.38,0.5041
101.50,0.5041
101.61,0.5041
101.73,0.5041
101.85,0.5041
101.96,0.5042
102.08,0.5041
102.20,0.5042
102.32,0.5043
102.43,0.5043
102.56,0.5043
102.67,0.5044
102.79,0.5044
102.90,0.5043
103.02,0.5044
103.14,0.5043
103.26,0.5043
103.38,0.5045
103.50,0.5047
103.62,0.5047
103.73,0.5048
103.86,0.5047
103.98,0.5047
104.09,0.5048
104.21,0.5049
104.33,0.5050
104.45,0.5050
104.57,0.5050
104.68,0.5050
104.81,0.5050
104.92,0.5050
105.05,0.5050
105.17,0.5052
105.28,0.5052
105.40,0.5052
105.53,0.5054
105.64,0.5055
105.76,0.5057
105.88,0.5059
106.00,0.5059
106.12,0.5058
106.24,0.5059
106.36,0.5058
106.48,0.5059
106.60,0.5059
106.72,0.5060
106.83,0.5061
106.96,0.5061
107.08,0.5061
107.20,0.5060
107.32,0.5061
107.44,0.5063
107.56,0.5063
107.68,0.5064
107.80,0.5065
107.92,0.5065
108.04,0.5066
108.15,0.5066
108.28,0.5067
108.39,0.5068
108.51,0.5068
108.63,0.5069
108.74,0.5071
108.86,0.5070
108.98,0.5071
109.10,0.5072
109.22,0.5072
109.34,0.5075
109.45,0.5075
109.57,0.5075
109.68,0.5075
109.81,0.5075
109.93,0.5077
110.05,0.5077
110.16,0.5078
110.28,0.5079
110.41,0.5079
110.52,0.5080
110.64,0.5081
110.76,0.5081
110.88,0.5081
111.00,0.5082
111.12,0.5082
111.24,0.5083
111.36,0.5082
111.48,0.5084
111.59,0.5084
111.72,0.5086
111.84,0.5086
111.96,0.5087
112.08,0.5088
112.20,0.5088
112.32,0.5090
112.44,0.5091
112.55,0.5092
112.68,0.5093
112.80,0.5093
112.92,0.5094
113.04,0.5096
113.16,0.5097
113.28,0.5097
113.41,0.5099
113.52,0.5101
113.64,0.5103
113.77,0.5102
113.89,0.5103
114.02,0.5104
114.14,0.5105
114.26,0.5105
114.38,0.5107
114.50,0.5108
114.62,0.5108
114.74,0.5109
114.87,0.5110
114.99,0.5113
115.11,0.5114
115.24,0.5113
115.36,0.5115
115.47,0.5117
115.59,0.5118
115.72,0.5119
115.84,0.5119
115.96,0.5121
116.09,0.5121
116.22,0.5122
116.34,0.5123
116.45,0.5123
116.58,0.5125
116.70,0.5125
116.82,0.5127
116.95,0.5129
117.07,0.5129
117.19,0.5129
117.32,0.5128
117.44,0.5129
117.56,0.5130
117.68,0.5129
117.80,0.5129
117.93,0.5129
118.05,0.5129
118.18,0.5130
118.30,0.5131
118.43,0.5132
118.55,0.5133
118.67,0.5132
118.80,0.5132
118.92,0.5134
119.05,0.5134
119.17,0.5135
119.29,0.5135
119.42,0.5136
119.54,0.5136
119.67,0.5138
119.80,0.5139
119.92,0.5139
120.05,0.5139
120.17,0.5138
120.29,0.5138
120.42,0.5139
120.54,0.5140
120.67,0.5140
120.79,0.5140
120.91,0.5141
121.04,0.5142
121.17,0.5143
121.29,0.5143
121.41,0.5144
121.54,0.5143
121.66,0.5143
121.79,0.5143
121.92,0.5144
122.05,0.5143
122.17,0.5143
122.29,0.5144
122.42,0.5145
122.54,0.5146
122.67,0.5145
122.79,0.5145
122.92,0.5146
123.04,0.5147
123.16,0.5148
123.29,0.5148
123.42,0.5148
123.54,0.5150
123.67,0.5150
123.79,0.5150
123.92,0.5149
124.03,0.5151
124.16,0.5151
124.28,0.5151
124.40,0.5152
124.53,0.5152
124.65,0.5153
124.78,0.5153
124.90,0.5153
125.02,0.5153
125.14,0.5154
125.26,0.5154
125.39,0.5154
125.51,0.5154
125.64,0.5153
125.77,0.5152
125.89,0.5153
126.01,0.5154
126.13,0.5155
126.26,0.5155
126.38,0.5154
126.50,0.5153
126.63,0.5154
126.76,0.5154
126.89,0.5153
127.01,0.5153
127.13,0.5153
127.26,0.5153
127.38,0.5154
127.50,0.5155
127.63,0.5156
127.75,0.5155
127.88,0.5156
128.01,0.5157
128.13,0.5157
128.26,0.5157
128.38,0.5157
128.51,0.5158
128.63,0.5159
128.75,0.5159
128.88,0.5159
129.01,0.5158
129.13,0.5159
129.25,0.5160
129.38,0.5161
129.51,0.5161
129.63,0.5161
129.76,0.5161
129.88,0.5161
130.01,0.5162
130.14,0.5163
130.26,0.5162
130.39,0.5163
130.51,0.5163
130.64,0.5162
130.77,0.5163
130.89,0.5164
131.02,0.5165
131.15,0.5165
131.27,0.5166
131.40,0.5167
